Film,var_score_nltk,var_score_blob,duree,sentiment_polarity_nltk,sentiment_polarity_blob,Note imdb,Annee,Budget,Box office
007 Spectre (2015),0.4681208622150754,0.0287716122708823,2h 28m,0.545586,0.1306609398913617,6.8,2015.0,245000000.0,880705312.0
Aladdin (2019),0.28568437036604,0.0555141322205386,2h 8m,0.6241637837837838,0.1750022978390109,6.9,2019.0,183000000.0,1054304000.0
Alice au pays des merveilles (2010),0.2959676301633372,0.0274732008254972,1h 48m,0.7236767567567568,0.1370342700459602,6.4,2010.0,200000000.0,1025468216.0
Aquaman (2018),0.5040254658213869,0.0928830929990942,2h 23m,0.2766178378378378,0.0061665915013246,6.8,2018.0,160000000.0,1157347433.0
Avatar (2009),0.155810373213866,0.0229035304304222,2h 42m,0.8445162162162162,0.2130784632309775,7.9,2009.0,237000000.0,2923706026.0
Avatar : La Voie de l'eau (2022),0.2726811780481787,0.0201222740705742,3h 12m,0.692707027027027,0.1342274815185716,7.6,2022.0,350000000.0,2320250281.0
Avengers (2012),0.1974582564001175,0.0277505407887946,2h 23m,0.8210151351351351,0.2186145829764483,8.0,2012.0,220000000.0,1520538536.0
Avengers : L'Ère d'Ultron (2015),0.2642157736985897,0.0210853614494053,2h 21m,0.7678243243243243,0.1546730878882745,7.3,2015.0,250000000.0,1405018048.0
Avengers: Endgame (2019),0.3633904729864865,0.0772756255979064,3h 1m,0.5607583783783784,0.2038755884051042,8.4,2019.0,356000000.0,2799439100.0
Avengers: Infinity War (2018),0.3872647043372503,0.0661098704427065,2h 29m,0.4906967567567567,0.1608827365792923,8.4,2018.0,321000000.0,2052415039.0
Barbie (2023),0.0996819636709752,0.0217377807625479,1h 54m,0.8802259459459459,0.1912164258676646,7.0,2023.0,100000000.0,1441788910.0
Batman v Superman: L'Aube de la Justice (2016),0.3035096755286431,0.0418775678355977,2h 31m,0.630043,0.2066542486938724,6.5,2016.0,250000000.0,874362803.0
Black Panther (2018),0.3885089386292599,0.0429091215849424,2h 14m,0.5456589189189189,0.0833434918617367,7.3,2018.0,200000000.0,1349926083.0
